




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (1920)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
dicarboxylic acid metabolic process (GO:0043648)	40	12	5.56	+	2.16	8.97E-03	3.39E-02
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	60	18	8.34	+	2.16	1.08E-03	5.27E-03
positive regulation of response to stimulus (GO:0048584)	547	164	75.99	+	2.16	2.70E-23	8.24E-22
negative regulation of metabolic process (GO:0009892)	751	225	104.33	+	2.16	7.50E-32	3.56E-30
regulation of immune effector process (GO:0002697)	77	23	10.70	+	2.15	3.44E-04	1.87E-03
sperm individualization (GO:0007291)	57	17	7.92	+	2.15	1.60E-03	7.56E-03
ribonucleotide biosynthetic process (GO:0009260)	104	31	14.45	+	2.15	2.24E-05	1.60E-04
carbohydrate catabolic process (GO:0016052)	64	19	8.89	+	2.14	8.71E-04	4.31E-03
positive regulation of response to biotic stimulus (GO:0002833)	128	38	17.78	+	2.14	3.67E-06	3.13E-05
regulation of intracellular signal transduction (GO:1902531)	388	115	53.90	+	2.13	3.03E-16	6.70E-15
vesicle fusion (GO:0006906)	54	16	7.50	+	2.13	2.37E-03	1.04E-02
positive regulation of signaling (GO:0023056)	456	135	63.35	+	2.13	8.72E-19	2.20E-17
rhabdomere development (GO:0042052)	44	13	6.11	+	2.13	6.78E-03	2.61E-02
regulation of transcription by RNA polymerase II (GO:0006357)	860	254	119.47	+	2.13	7.42E-35	3.76E-33
nucleotide biosynthetic process (GO:0009165)	122	36	16.95	+	2.12	7.91E-06	6.31E-05
positive regulation of cell communication (GO:0010647)	458	135	63.62	+	2.12	1.19E-18	2.98E-17
regulation of peptidoglycan recognition protein signaling pathway (GO:0061058)	51	15	7.08	+	2.12	3.53E-03	1.46E-02
regulation of transport (GO:0051049)	272	80	37.79	+	2.12	1.83E-11	2.79E-10
regulation of Notch signaling pathway (GO:0008593)	75	22	10.42	+	2.11	5.58E-04	2.86E-03
cellular response to stimulus (GO:0051716)	1463	429	203.24	+	2.11	2.21E-60	2.47E-58
protein localization to nucleus (GO:0034504)	58	17	8.06	+	2.11	1.90E-03	8.56E-03
non-membrane-bounded organelle assembly (GO:0140694)	215	63	29.87	+	2.11	3.29E-09	4.08E-08
detection of abiotic stimulus (GO:0009582)	82	24	11.39	+	2.11	2.88E-04	1.57E-03
detection of external stimulus (GO:0009581)	82	24	11.39	+	2.11	2.88E-04	1.57E-03
ribose phosphate biosynthetic process (GO:0046390)	106	31	14.73	+	2.11	4.97E-05	3.30E-04
positive regulation of proteolysis (GO:0045862)	65	19	9.03	+	2.10	1.66E-03	7.67E-03
negative regulation of gene expression (GO:0010629)	354	103	49.18	+	2.09	5.76E-14	1.06E-12
protein localization to cell periphery (GO:1990778)	55	16	7.64	+	2.09	2.81E-03	1.19E-02
regulation of TOR signaling (GO:0032006)	55	16	7.64	+	2.09	2.81E-03	1.19E-02
response to virus (GO:0009615)	55	16	7.64	+	2.09	2.81E-03	1.19E-02
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	86	25	11.95	+	2.09	2.24E-04	1.26E-03
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	62	18	8.61	+	2.09	2.46E-03	1.08E-02
positive regulation of defense response (GO:0031349)	131	38	18.20	+	2.09	5.53E-06	4.53E-05
defense response to bacterium (GO:0042742)	207	60	28.76	+	2.09	1.18E-08	1.36E-07
organelle fusion (GO:0048284)	69	20	9.59	+	2.09	1.22E-03	5.88E-03
regulation of autophagy (GO:0010506)	114	33	15.84	+	2.08	2.78E-05	1.95E-04
response to metal ion (GO:0010038)	45	13	6.25	+	2.08	7.84E-03	2.98E-02
regulation of BMP signaling pathway (GO:0030510)	52	15	7.22	+	2.08	4.16E-03	1.68E-02
protein dephosphorylation (GO:0006470)	52	15	7.22	+	2.08	4.16E-03	1.68E-02
chemosensory behavior (GO:0007635)	104	30	14.45	+	2.08	7.87E-05	5.04E-04
defense response to symbiont (GO:0140546)	191	55	26.53	+	2.07	6.68E-08	7.14E-07
organic hydroxy compound biosynthetic process (GO:1901617)	66	19	9.17	+	2.07	1.80E-03	8.13E-03
regulation of RNA biosynthetic process (GO:2001141)	1067	307	148.23	+	2.07	4.47E-40	2.61E-38
regulation of DNA-templated transcription (GO:0006355)	1067	307	148.23	+	2.07	4.47E-40	2.59E-38
programmed cell death (GO:0012501)	160	46	22.23	+	2.07	7.84E-07	7.58E-06
regulation of proteolysis involved in protein catabolic process (GO:1903050)	70	20	9.72	+	2.06	1.35E-03	6.50E-03
glucose metabolic process (GO:0006006)	49	14	6.81	+	2.06	6.17E-03	2.39E-02
organelle membrane fusion (GO:0090174)	56	16	7.78	+	2.06	3.34E-03	1.39E-02
trans-synaptic signaling (GO:0099537)	228	65	31.67	+	2.05	5.91E-09	7.11E-08
chemical synaptic transmission (GO:0007268)	221	63	30.70	+	2.05	1.08E-08	1.26E-07
anterograde trans-synaptic signaling (GO:0098916)	221	63	30.70	+	2.05	1.08E-08	1.26E-07
response to organonitrogen compound (GO:0010243)	144	41	20.00	+	2.05	4.43E-06	3.68E-05
regulation of protein metabolic process (GO:0051246)	370	105	51.40	+	2.04	2.24E-13	3.91E-12
response to external biotic stimulus (GO:0043207)	409	116	56.82	+	2.04	1.08E-14	2.11E-13
response to other organism (GO:0051707)	409	116	56.82	+	2.04	1.08E-14	2.11E-13
protein processing (GO:0016485)	67	19	9.31	+	2.04	1.99E-03	8.95E-03
biological process involved in interspecies interaction between organisms (GO:0044419)	452	128	62.79	+	2.04	3.93E-16	8.54E-15
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1272	360	176.71	+	2.04	1.12E-45	7.78E-44
synaptic vesicle exocytosis (GO:0016079)	53	15	7.36	+	2.04	4.93E-03	1.94E-02
purine-containing compound catabolic process (GO:0072523)	53	15	7.36	+	2.04	4.93E-03	1.94E-02
response to biotic stimulus (GO:0009607)	410	116	56.96	+	2.04	1.18E-14	2.29E-13
immune response (GO:0006955)	191	54	26.53	+	2.04	2.25E-07	2.28E-06
mRNA transport (GO:0051028)	46	13	6.39	+	2.03	9.14E-03	3.45E-02
response to bacterium (GO:0009617)	241	68	33.48	+	2.03	4.59E-09	5.59E-08
defense response to other organism (GO:0098542)	369	104	51.26	+	2.03	3.84E-13	6.59E-12
purine ribonucleotide biosynthetic process (GO:0009152)	96	27	13.34	+	2.02	2.69E-04	1.49E-03
negative regulation of catabolic process (GO:0009895)	64	18	8.89	+	2.02	2.92E-03	1.23E-02
cellular component organization (GO:0016043)	2641	742	366.89	+	2.02	4.85E-105	1.88E-102
regulation of small GTPase mediated signal transduction (GO:0051056)	89	25	12.36	+	2.02	5.24E-04	2.70E-03
regulation of RNA metabolic process (GO:0051252)	1210	339	168.09	+	2.02	7.96E-42	4.76E-40
nucleoside phosphate metabolic process (GO:0006753)	237	66	32.92	+	2.00	1.25E-08	1.44E-07
synaptic signaling (GO:0099536)	237	66	32.92	+	2.00	1.25E-08	1.43E-07
cellular macromolecule localization (GO:0070727)	711	198	98.77	+	2.00	1.24E-23	3.90E-22
regulation of MAPK cascade (GO:0043408)	133	37	18.48	+	2.00	2.21E-05	1.58E-04
organic hydroxy compound metabolic process (GO:1901615)	169	47	23.48	+	2.00	1.69E-06	1.52E-05
positive regulation of response to external stimulus (GO:0032103)	144	40	20.00	+	2.00	1.45E-05	1.09E-04
regulation of primary metabolic process (GO:0080090)	1671	464	232.13	+	2.00	6.64E-58	6.88E-56
post-transcriptional regulation of gene expression (GO:0010608)	209	58	29.03	+	2.00	1.48E-07	1.54E-06
cellular response to stress (GO:0033554)	537	149	74.60	+	2.00	9.16E-18	2.22E-16
regulation of cellular metabolic process (GO:0031323)	1837	509	255.19	+	1.99	4.64E-64	5.99E-62
nucleotide metabolic process (GO:0009117)	231	64	32.09	+	1.99	2.59E-08	2.87E-07
regulation of cellular biosynthetic process (GO:0031326)	1625	449	225.74	+	1.99	6.36E-55	6.08E-53
regulation of gene expression (GO:0010468)	1594	440	221.44	+	1.99	1.19E-53	1.02E-51
export from cell (GO:0140352)	174	48	24.17	+	1.99	2.18E-06	1.92E-05
membrane fusion (GO:0061025)	58	16	8.06	+	1.99	6.31E-03	2.44E-02
protein-containing complex localization (GO:0031503)	58	16	8.06	+	1.99	6.31E-03	2.44E-02
nucleus organization (GO:0006997)	87	24	12.09	+	1.99	8.28E-04	4.15E-03
microtubule-based process (GO:0007017)	475	131	65.99	+	1.99	2.18E-15	4.52E-14
regulation of cellular process (GO:0050794)	3613	996	501.91	+	1.98	1.20E-150	7.33E-148
regulation of macromolecule biosynthetic process (GO:0010556)	1608	443	223.38	+	1.98	8.95E-54	7.75E-52
response to fungus (GO:0009620)	69	19	9.59	+	1.98	2.54E-03	1.10E-02
defense response (GO:0006952)	382	105	53.07	+	1.98	1.81E-12	2.95E-11
cellular component organization or biogenesis (GO:0071840)	2805	771	389.67	+	1.98	9.39E-105	3.29E-102
positive regulation of defense response to bacterium (GO:1900426)	51	14	7.08	+	1.98	1.25E-02	4.44E-02
secretion by cell (GO:0032940)	164	45	22.78	+	1.98	6.07E-06	4.96E-05
positive regulation of catabolic process (GO:0009896)	164	45	22.78	+	1.98	6.07E-06	4.95E-05
regulation of biosynthetic process (GO:0009889)	1644	451	228.38	+	1.97	2.57E-54	2.34E-52
neuromuscular junction development (GO:0007528)	84	23	11.67	+	1.97	1.20E-03	5.80E-03
cell junction organization (GO:0034330)	252	69	35.01	+	1.97	1.79E-08	2.03E-07
cell death (GO:0008219)	172	47	23.89	+	1.97	3.41E-06	2.92E-05
regulation of macromolecule metabolic process (GO:0060255)	1865	509	259.08	+	1.96	1.54E-61	1.89E-59
cytoskeleton-dependent intracellular transport (GO:0030705)	88	24	12.22	+	1.96	9.14E-04	4.50E-03
negative regulation of intracellular signal transduction (GO:1902532)	132	36	18.34	+	1.96	6.24E-05	4.04E-04
spermatid differentiation (GO:0048515)	132	36	18.34	+	1.96	6.24E-05	4.04E-04
response to nitrogen compound (GO:1901698)	158	43	21.95	+	1.96	1.25E-05	9.49E-05
cellular component assembly (GO:0022607)	1037	282	144.06	+	1.96	5.75E-32	2.74E-30
amino acid catabolic process (GO:0009063)	59	16	8.20	+	1.95	7.00E-03	2.70E-02
regulated exocytosis (GO:0045055)	59	16	8.20	+	1.95	7.00E-03	2.69E-02
regulation of protein stability (GO:0031647)	59	16	8.20	+	1.95	7.00E-03	2.69E-02
response to stress (GO:0006950)	1164	315	161.70	+	1.95	1.85E-35	9.53E-34
ribonucleotide metabolic process (GO:0009259)	185	50	25.70	+	1.95	2.66E-06	2.32E-05
regulation of metabolic process (GO:0019222)	2039	551	283.26	+	1.95	6.60E-66	8.99E-64
vesicle-mediated transport to the plasma membrane (GO:0098876)	63	17	8.75	+	1.94	5.39E-03	2.10E-02
spermatid development (GO:0007286)	123	33	17.09	+	1.93	1.84E-04	1.06E-03
regulation of biological process (GO:0050789)	3942	1054	547.62	+	1.92	2.66E-152	1.95E-149
secretion (GO:0046903)	176	47	24.45	+	1.92	7.71E-06	6.15E-05
purine nucleotide metabolic process (GO:0006163)	210	56	29.17	+	1.92	8.90E-07	8.45E-06
neurotransmitter transport (GO:0006836)	109	29	15.14	+	1.92	4.09E-04	2.16E-03
establishment of RNA localization (GO:0051236)	94	25	13.06	+	1.91	1.35E-03	6.48E-03
transport along microtubule (GO:0010970)	83	22	11.53	+	1.91	2.12E-03	9.37E-03
ribose phosphate metabolic process (GO:0019693)	189	50	26.26	+	1.90	3.91E-06	3.30E-05
purine nucleotide biosynthetic process (GO:0006164)	106	28	14.73	+	1.90	5.85E-04	2.99E-03
organelle organization (GO:0006996)	1545	406	214.63	+	1.89	3.98E-43	2.48E-41
biological regulation (GO:0065007)	4181	1096	580.82	+	1.89	4.14E-154	3.39E-151
phosphate-containing compound metabolic process (GO:0006796)	641	168	89.05	+	1.89	2.97E-17	7.11E-16
protein localization (GO:0008104)	672	176	93.35	+	1.89	4.68E-18	1.14E-16
response to stimulus (GO:0050896)	2398	628	333.13	+	1.89	4.87E-71	7.47E-69
negative regulation of protein metabolic process (GO:0051248)	130	34	18.06	+	1.88	1.81E-04	1.05E-03
negative regulation of organelle organization (GO:0010639)	69	18	9.59	+	1.88	7.58E-03	2.89E-02
RNA transport (GO:0050658)	92	24	12.78	+	1.88	2.05E-03	9.07E-03
nucleic acid transport (GO:0050657)	92	24	12.78	+	1.88	2.05E-03	9.06E-03
purine ribonucleotide metabolic process (GO:0009150)	177	46	24.59	+	1.87	1.58E-05	1.17E-04
reproductive behavior (GO:0019098)	166	43	23.06	+	1.86	3.65E-05	2.52E-04
microtubule-based transport (GO:0099111)	85	22	11.81	+	1.86	3.92E-03	1.61E-02
alcohol metabolic process (GO:0006066)	89	23	12.36	+	1.86	2.92E-03	1.23E-02
response to oxidative stress (GO:0006979)	124	32	17.23	+	1.86	3.65E-04	1.97E-03
mating behavior (GO:0007617)	159	41	22.09	+	1.86	6.70E-05	4.33E-04
phosphorus metabolic process (GO:0006793)	652	168	90.58	+	1.85	1.62E-16	3.64E-15
cellular localization (GO:0051641)	1084	279	150.59	+	1.85	3.74E-27	1.41E-25
cellular component biogenesis (GO:0044085)	1217	313	169.06	+	1.85	1.07E-30	4.85E-29
vesicle-mediated transport (GO:0016192)	502	129	69.74	+	1.85	9.07E-13	1.51E-11
regulation of secretion by cell (GO:1903530)	74	19	10.28	+	1.85	6.30E-03	2.43E-02
regulation of membrane potential (GO:0042391)	86	22	11.95	+	1.84	4.16E-03	1.68E-02
regulation of catabolic process (GO:0009894)	286	73	39.73	+	1.84	1.41E-07	1.47E-06
response to nutrient levels (GO:0031667)	177	45	24.59	+	1.83	4.02E-05	2.74E-04
protein folding (GO:0006457)	138	35	19.17	+	1.83	2.86E-04	1.56E-03
regulation of secretion (GO:0051046)	79	20	10.97	+	1.82	7.91E-03	2.99E-02
macromolecule localization (GO:0033036)	879	222	122.11	+	1.82	2.02E-20	5.57E-19
purine-containing compound metabolic process (GO:0072521)	234	59	32.51	+	1.81	3.45E-06	2.96E-05
nucleobase-containing compound transport (GO:0015931)	119	30	16.53	+	1.81	1.17E-03	5.66E-03
modulation of chemical synaptic transmission (GO:0050804)	155	39	21.53	+	1.81	1.57E-04	9.30E-04
regulation of trans-synaptic signaling (GO:0099177)	155	39	21.53	+	1.81	1.57E-04	9.30E-04
response to chemical (GO:0042221)	808	203	112.25	+	1.81	1.73E-18	4.30E-17
chemical homeostasis (GO:0048878)	275	69	38.20	+	1.81	5.80E-07	5.71E-06
regulation of mRNA metabolic process (GO:1903311)	156	39	21.67	+	1.80	2.50E-04	1.40E-03
response to starvation (GO:0042594)	156	39	21.67	+	1.80	2.50E-04	1.40E-03
hexose metabolic process (GO:0019318)	72	18	10.00	+	1.80	9.97E-03	3.61E-02
intracellular protein transport (GO:0006886)	248	62	34.45	+	1.80	2.65E-06	2.31E-05
protein-containing complex organization (GO:0043933)	756	187	105.02	+	1.78	3.09E-16	6.78E-15
nuclear export (GO:0051168)	85	21	11.81	+	1.78	6.87E-03	2.65E-02
innate immune response (GO:0045087)	122	30	16.95	+	1.77	1.42E-03	6.75E-03
nucleobase-containing small molecule metabolic process (GO:0055086)	291	71	40.43	+	1.76	1.23E-06	1.12E-05
establishment of localization in cell (GO:0051649)	719	175	99.88	+	1.75	1.54E-14	2.97E-13
apoptotic process (GO:0006915)	99	24	13.75	+	1.75	5.14E-03	2.01E-02
lipid homeostasis (GO:0055088)	83	20	11.53	+	1.73	1.06E-02	3.82E-02
L-amino acid metabolic process (GO:0170033)	108	26	15.00	+	1.73	4.64E-03	1.83E-02
alpha-amino acid metabolic process (GO:1901605)	125	30	17.36	+	1.73	2.47E-03	1.08E-02
purine-containing compound biosynthetic process (GO:0072522)	117	28	16.25	+	1.72	2.98E-03	1.25E-02
nucleobase-containing compound metabolic process (GO:0006139)	1432	340	198.93	+	1.71	2.42E-26	8.80E-25
nucleic acid metabolic process (GO:0090304)	1136	268	157.81	+	1.70	3.83E-20	1.03E-18
cellular homeostasis (GO:0019725)	221	52	30.70	+	1.69	1.10E-04	6.86E-04
synapse organization (GO:0050808)	184	43	25.56	+	1.68	5.18E-04	2.67E-03
RNA splicing, via transesterification reactions (GO:0000375)	220	51	30.56	+	1.67	1.68E-04	9.82E-04
microtubule-based movement (GO:0007018)	199	46	27.64	+	1.66	3.97E-04	2.11E-03
intracellular chemical homeostasis (GO:0055082)	139	32	19.31	+	1.66	4.17E-03	1.68E-02
protein maturation (GO:0051604)	248	57	34.45	+	1.65	8.88E-05	5.58E-04
intracellular transport (GO:0046907)	579	133	80.43	+	1.65	1.84E-09	2.32E-08
nucleobase-containing compound biosynthetic process (GO:0034654)	929	212	129.06	+	1.64	2.34E-14	4.43E-13
organophosphate biosynthetic process (GO:0090407)	251	57	34.87	+	1.63	1.39E-04	8.46E-04
mRNA splicing, via spliceosome (GO:0000398)	218	49	30.28	+	1.62	5.05E-04	2.61E-03
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	218	49	30.28	+	1.62	5.05E-04	2.61E-03
mRNA metabolic process (GO:0016071)	344	77	47.79	+	1.61	1.71E-05	1.26E-04
organophosphate metabolic process (GO:0019637)	420	94	58.35	+	1.61	1.85E-06	1.66E-05
system process (GO:0003008)	628	140	87.24	+	1.60	5.40E-09	6.54E-08
localization within membrane (GO:0051668)	203	45	28.20	+	1.60	1.39E-03	6.63E-03
nucleic acid biosynthetic process (GO:0141187)	787	174	109.33	+	1.59	1.37E-10	1.92E-09
RNA splicing (GO:0008380)	231	51	32.09	+	1.59	7.10E-04	3.62E-03
mRNA processing (GO:0006397)	263	58	36.54	+	1.59	2.86E-04	1.57E-03
endosomal transport (GO:0016197)	127	28	17.64	+	1.59	1.34E-02	4.76E-02
G protein-coupled receptor signaling pathway (GO:0007186)	215	47	29.87	+	1.57	1.36E-03	6.53E-03
endomembrane system organization (GO:0010256)	206	45	28.62	+	1.57	1.58E-03	7.47E-03
translation (GO:0006412)	307	67	42.65	+	1.57	1.54E-04	9.31E-04
gene expression (GO:0010467)	1301	282	180.73	+	1.56	7.71E-16	1.64E-14
small molecule catabolic process (GO:0044282)	180	39	25.01	+	1.56	4.48E-03	1.77E-02
cellular process (GO:0009987)	7061	1524	980.91	+	1.55	9.82E-167	1.03E-163
protein transport (GO:0015031)	362	78	50.29	+	1.55	5.61E-05	3.70E-04
biosynthetic process (GO:0009058)	2098	449	291.45	+	1.54	1.10E-24	3.69E-23
nervous system process (GO:0050877)	559	119	77.66	+	1.53	9.97E-07	9.22E-06
organelle assembly (GO:0070925)	414	88	57.51	+	1.53	3.49E-05	2.41E-04
amide metabolic process (GO:0043603)	152	32	21.12	+	1.52	1.32E-02	4.67E-02
protein localization to organelle (GO:0033365)	262	55	36.40	+	1.51	1.50E-03	7.13E-03
RNA biosynthetic process (GO:0032774)	745	156	103.49	+	1.51	5.96E-08	6.38E-07
cellular metabolic process (GO:0044237)	2918	607	405.37	+	1.50	2.16E-31	1.02E-29
macromolecule biosynthetic process (GO:0009059)	1563	324	217.13	+	1.49	3.02E-15	6.18E-14
RNA metabolic process (GO:0016070)	858	176	119.19	+	1.48	4.19E-08	4.56E-07
protein-containing complex assembly (GO:0065003)	428	87	59.46	+	1.46	2.07E-04	1.17E-03
localization (GO:0051179)	2152	435	298.95	+	1.46	1.03E-18	2.57E-17
cellular biosynthetic process (GO:0044249)	1846	373	256.44	+	1.45	7.41E-16	1.58E-14
nitrogen compound transport (GO:0071705)	515	104	71.54	+	1.45	6.88E-05	4.45E-04
membrane organization (GO:0061024)	290	58	40.29	+	1.44	3.45E-03	1.43E-02
organonitrogen compound biosynthetic process (GO:1901566)	815	163	113.22	+	1.44	8.22E-07	7.84E-06
carbohydrate metabolic process (GO:0005975)	240	48	33.34	+	1.44	8.16E-03	3.08E-02
establishment of protein localization (GO:0045184)	448	89	62.24	+	1.43	3.79E-04	2.02E-03
organonitrogen compound catabolic process (GO:1901565)	516	102	71.68	+	1.42	1.61E-04	9.46E-04
cuticle development (GO:0042335)	234	46	32.51	+	1.42	1.30E-02	4.60E-02
macromolecule metabolic process (GO:0043170)	3044	598	422.87	+	1.41	1.21E-23	3.84E-22
primary metabolic process (GO:0044238)	3914	759	543.73	+	1.40	2.62E-30	1.15E-28
metabolic process (GO:0008152)	4423	857	614.44	+	1.39	8.32E-36	4.31E-34
organonitrogen compound metabolic process (GO:1901564)	2518	472	349.80	+	1.35	4.64E-14	8.60E-13
small molecule metabolic process (GO:0044281)	753	141	104.61	+	1.35	1.44E-04	8.71E-04
organic acid metabolic process (GO:0006082)	360	67	50.01	+	1.34	1.07E-02	3.88E-02
protein modification process (GO:0036211)	775	142	107.66	+	1.32	4.06E-04	2.15E-03
catabolic process (GO:0009056)	918	168	127.53	+	1.32	1.13E-04	7.03E-04
macromolecule catabolic process (GO:0009057)	486	88	67.51	+	1.30	7.54E-03	2.88E-02
establishment of localization (GO:0051234)	1914	344	265.89	+	1.29	7.12E-08	7.61E-07
transport (GO:0006810)	1795	322	249.36	+	1.29	2.39E-07	2.41E-06
macromolecule modification (GO:0043412)	874	152	121.42	+	1.25	2.83E-03	1.19E-02
protein metabolic process (GO:0019538)	1955	337	271.59	+	1.24	7.17E-06	5.73E-05
biological_process (GO:0008150)	11319	1835	1572.42	+	1.17	4.55E-81	8.59E-79
detection of chemical stimulus (GO:0009593)	181	8	25.14	-	.32	4.93E-05	3.28E-04
Unclassified (UNCLASSIFIED)	2502	85	347.58	-	.24	4.55E-81	8.82E-79
amino acid transmembrane transport (GO:0003333)	59	2	8.20	-	.24	1.35E-02	4.77E-02
response to pheromone (GO:0019236)	33	0	4.58	-	 < 0.01	1.08E-02	3.90E-02
